epoch	loss	acc	val_loss	val_acc
0	2.333824	0.141290	2.151801	0.280000
1	2.095118	0.240359	1.962509	0.337500
2	1.946985	0.295545	1.753737	0.430000
3	1.806951	0.342753	1.643927	0.463750
4	1.701255	0.389295	1.514066	0.493750
5	1.652602	0.413231	1.394090	0.552500
6	1.530058	0.462434	1.425731	0.523750
7	1.516213	0.462434	1.266211	0.595000
8	1.426966	0.497673	1.276144	0.570000
9	1.402771	0.505984	1.262016	0.566250
10	1.388091	0.532912	1.230723	0.597500
11	1.337482	0.527593	1.148677	0.620000
12	1.347084	0.535384	1.208527	0.590000
13	1.251887	0.565160	1.054633	0.636250
14	1.268302	0.563830	1.132342	0.598750
15	1.218387	0.581782	0.975566	0.660000
16	1.172899	0.595080	0.971926	0.655000
17	1.175168	0.598072	1.080444	0.621250
18	1.184900	0.588431	0.960541	0.671250
19	1.149938	0.612367	0.946948	0.652500
20	1.113491	0.621343	0.989806	0.655000
21	1.148686	0.601064	0.988482	0.660000
22	1.091223	0.621011	0.936402	0.688750
23	1.081641	0.629654	0.930508	0.706250
24	1.104480	0.620013	0.923819	0.692500
25	1.085096	0.630622	0.971860	0.667500
26	1.048127	0.639628	0.792289	0.713750
27	1.052815	0.647939	0.898879	0.690000
28	1.030143	0.648271	0.886493	0.710000
29	1.013281	0.647606	0.851809	0.702500
30	0.983121	0.666556	0.794786	0.708750
31	0.989536	0.658245	0.863600	0.685000
32	1.012039	0.653923	0.900897	0.687500
33	0.957157	0.664229	0.842500	0.711250
34	0.941616	0.679854	0.799342	0.722500
35	0.988276	0.652593	0.819102	0.735000
36	0.985137	0.663231	0.803163	0.732500
37	0.964209	0.676587	0.787642	0.708750
38	0.955453	0.679521	0.804317	0.735000
39	0.921567	0.685173	0.764823	0.752500
